Sno,Htno,Subcode,Subname,Internals,Grade,Credits
749,24JD1A0401,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,22,B,1.5
750,24JD1A0401,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,25,B,1.5
751,24JD1A0401,R2321047,DATA STRUCTURES USING PYTHON,25,B,2
752,24JD1A0402,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,16,E,3
753,24JD1A0402,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,25,COMPLE,0
754,24JD1A0402,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,17,F,0
755,24JD1A0402,R2321042,SIGNALS AND SYSTEMS,17,E,3
756,24JD1A0402,R2321043,ELECTRONIC DEVICES AND CIRCUITS,21,D,3
757,24JD1A0402,R2321044,SWITCHING THEORY AND LOGIC DESIGN,20,D,3
758,24JD1A0402,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,27,S,1.5
759,24JD1A0402,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,27,S,1.5
760,24JD1A0402,R2321047,DATA STRUCTURES USING PYTHON,25,B,2
761,24JD1A0403,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,23,A,3
762,24JD1A0403,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,26,COMPLE,0
763,24JD1A0403,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,24,A,3
764,24JD1A0403,R2321042,SIGNALS AND SYSTEMS,22,A,3
765,24JD1A0403,R2321043,ELECTRONIC DEVICES AND CIRCUITS,22,B,3
766,24JD1A0403,R2321044,SWITCHING THEORY AND LOGIC DESIGN,23,B,3
767,24JD1A0403,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,28,S,1.5
768,24JD1A0403,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,28,S,1.5
769,24JD1A0403,R2321047,DATA STRUCTURES USING PYTHON,29,S,2
770,24JD1A0405,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,21,E,3
771,24JD1A0405,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,30,COMPLE,0
772,24JD1A0405,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,18,F,0
773,24JD1A0405,R2321042,SIGNALS AND SYSTEMS,22,F,0
774,24JD1A0405,R2321043,ELECTRONIC DEVICES AND CIRCUITS,19,E,3
775,24JD1A0405,R2321044,SWITCHING THEORY AND LOGIC DESIGN,19,F,0
776,24JD1A0405,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,23,B,1.5
777,24JD1A0405,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,24,B,1.5
778,24JD1A0405,R2321047,DATA STRUCTURES USING PYTHON,25,B,2
779,24JD1A0406,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,23,D,3
780,24JD1A0406,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,29,COMPLE,0
781,24JD1A0406,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,21,D,3
782,24JD1A0406,R2321042,SIGNALS AND SYSTEMS,22,E,3
783,24JD1A0406,R2321043,ELECTRONIC DEVICES AND CIRCUITS,22,D,3
784,24JD1A0406,R2321044,SWITCHING THEORY AND LOGIC DESIGN,22,F,0
785,24JD1A0406,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,28,S,1.5
786,24JD1A0406,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,27,A,1.5
787,24JD1A0406,R2321047,DATA STRUCTURES USING PYTHON,27,A,2
788,24JD1A0407,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,20,C,3
789,24JD1A0407,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,28,COMPLE,0
790,24JD1A0407,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,20,F,0
791,24JD1A0407,R2321042,SIGNALS AND SYSTEMS,22,C,3
792,24JD1A0407,R2321043,ELECTRONIC DEVICES AND CIRCUITS,23,D,3
793,24JD1A0407,R2321044,SWITCHING THEORY AND LOGIC DESIGN,18,E,3
794,24JD1A0407,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,27,S,1.5
795,24JD1A0407,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,24,A,1.5
796,24JD1A0407,R2321047,DATA STRUCTURES USING PYTHON,24,A,2
797,24JD1A0408,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,25,B,3
798,24JD1A0408,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,29,COMPLE,0
799,24JD1A0408,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,24,C,3
800,24JD1A0408,R2321042,SIGNALS AND SYSTEMS,22,C,3
801,24JD1A0408,R2321043,ELECTRONIC DEVICES AND CIRCUITS,21,C,3
802,24JD1A0408,R2321044,SWITCHING THEORY AND LOGIC DESIGN,23,E,3
803,24JD1A0408,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,28,S,1.5
804,24JD1A0408,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,29,S,1.5
805,24JD1A0408,R2321047,DATA STRUCTURES USING PYTHON,29,S,2
806,24JD1A0409,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,28,B,3
807,24JD1A0409,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,28,COMPLE,0
808,24JD1A0409,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,21,B,3
809,24JD1A0409,R2321042,SIGNALS AND SYSTEMS,21,F,0
810,24JD1A0409,R2321043,ELECTRONIC DEVICES AND CIRCUITS,20,D,3
811,24JD1A0409,R2321044,SWITCHING THEORY AND LOGIC DESIGN,23,C,3
812,24JD1A0409,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,25,A,1.5
813,24JD1A0409,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,23,A,1.5
814,24JD1A0409,R2321047,DATA STRUCTURES USING PYTHON,24,A,2
815,24JD1A0410,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,18,D,3
816,24JD1A0410,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,28,COMPLE,0
817,24JD1A0410,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,22,E,3
818,24JD1A0410,R2321042,SIGNALS AND SYSTEMS,17,D,3
819,24JD1A0410,R2321043,ELECTRONIC DEVICES AND CIRCUITS,18,E,3
820,24JD1A0410,R2321044,SWITCHING THEORY AND LOGIC DESIGN,21,F,0
821,24JD1A0410,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,26,S,1.5
822,24JD1A0410,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,24,B,1.5
823,24JD1A0410,R2321047,DATA STRUCTURES USING PYTHON,25,A,2
824,24JD1A0411,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,17,E,3
825,24JD1A0411,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,28,COMPLE,0
826,24JD1A0411,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,16,F,0
827,24JD1A0411,R2321042,SIGNALS AND SYSTEMS,18,D,3
828,24JD1A0411,R2321043,ELECTRONIC DEVICES AND CIRCUITS,21,D,3
829,24JD1A0411,R2321044,SWITCHING THEORY AND LOGIC DESIGN,22,D,3
830,24JD1A0411,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,25,A,1.5
831,24JD1A0411,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,27,S,1.5
832,24JD1A0411,R2321047,DATA STRUCTURES USING PYTHON,25,A,2
833,24JD1A0412,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,19,D,3
834,24JD1A0412,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,29,COMPLE,0
835,24JD1A0412,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,18,D,3
836,24JD1A0412,R2321042,SIGNALS AND SYSTEMS,17,F,0
837,24JD1A0412,R2321043,ELECTRONIC DEVICES AND CIRCUITS,21,E,3
838,24JD1A0412,R2321044,SWITCHING THEORY AND LOGIC DESIGN,19,F,0
839,24JD1A0412,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,24,B,1.5
840,24JD1A0412,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,24,A,1.5
841,24JD1A0412,R2321047,DATA STRUCTURES USING PYTHON,24,A,2
842,24JD1A0413,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,22,D,3
843,24JD1A0413,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,27,COMPLE,0
844,24JD1A0413,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,19,C,3
845,24JD1A0413,R2321042,SIGNALS AND SYSTEMS,17,E,3
846,24JD1A0413,R2321043,ELECTRONIC DEVICES AND CIRCUITS,21,D,3
847,24JD1A0413,R2321044,SWITCHING THEORY AND LOGIC DESIGN,22,E,3
848,24JD1A0413,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,26,A,1.5
849,24JD1A0413,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,27,A,1.5
850,24JD1A0413,R2321047,DATA STRUCTURES USING PYTHON,25,A,2
851,24JD1A0414,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,21,C,3
852,24JD1A0414,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,25,COMPLE,0
853,24JD1A0414,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,20,D,3
854,24JD1A0414,R2321042,SIGNALS AND SYSTEMS,16,E,3
855,24JD1A0414,R2321043,ELECTRONIC DEVICES AND CIRCUITS,21,C,3
856,24JD1A0414,R2321044,SWITCHING THEORY AND LOGIC DESIGN,21,F,0
857,24JD1A0414,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,21,B,1.5
858,24JD1A0414,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,24,B,1.5
859,24JD1A0414,R2321047,DATA STRUCTURES USING PYTHON,25,A,2
860,24JD1A0415,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,21,D,3
861,24JD1A0415,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,28,COMPLE,0
862,24JD1A0415,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,22,F,0
863,24JD1A0415,R2321042,SIGNALS AND SYSTEMS,25,C,3
864,24JD1A0415,R2321043,ELECTRONIC DEVICES AND CIRCUITS,20,D,3
865,24JD1A0415,R2321044,SWITCHING THEORY AND LOGIC DESIGN,23,D,3
866,24JD1A0415,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,28,S,1.5
867,24JD1A0415,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,27,S,1.5
868,24JD1A0415,R2321047,DATA STRUCTURES USING PYTHON,27,A,2
869,24JD1A0416,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,16,E,3
870,24JD1A0416,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,28,COMPLE,0
871,24JD1A0416,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,18,F,0
872,24JD1A0416,R2321042,SIGNALS AND SYSTEMS,20,E,3
873,24JD1A0416,R2321043,ELECTRONIC DEVICES AND CIRCUITS,20,E,3
874,24JD1A0416,R2321044,SWITCHING THEORY AND LOGIC DESIGN,20,F,0
875,24JD1A0416,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,26,S,1.5
876,24JD1A0416,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,24,A,1.5
877,24JD1A0416,R2321047,DATA STRUCTURES USING PYTHON,23,A,2
878,24JD1A0417,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,21,D,3
879,24JD1A0417,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,26,COMPLE,0
880,24JD1A0417,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,20,D,3
881,24JD1A0417,R2321042,SIGNALS AND SYSTEMS,23,F,0
882,24JD1A0417,R2321043,ELECTRONIC DEVICES AND CIRCUITS,19,E,3
883,24JD1A0417,R2321044,SWITCHING THEORY AND LOGIC DESIGN,22,F,0
884,24JD1A0417,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,25,A,1.5
885,24JD1A0417,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,25,A,1.5
886,24JD1A0417,R2321047,DATA STRUCTURES USING PYTHON,24,A,2
887,24JD1A0418,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,28,A,3
888,24JD1A0418,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,28,COMPLE,0
889,24JD1A0418,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,25,B,3
890,24JD1A0418,R2321042,SIGNALS AND SYSTEMS,24,C,3
891,24JD1A0418,R2321043,ELECTRONIC DEVICES AND CIRCUITS,24,C,3
892,24JD1A0418,R2321044,SWITCHING THEORY AND LOGIC DESIGN,24,D,3
893,24JD1A0418,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,27,S,1.5
894,24JD1A0418,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,29,S,1.5
895,24JD1A0418,R2321047,DATA STRUCTURES USING PYTHON,23,A,2
896,24JD1A0419,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,26,A,3
897,24JD1A0419,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,28,COMPLE,0
898,24JD1A0419,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,25,F,0
899,24JD1A0419,R2321042,SIGNALS AND SYSTEMS,24,C,3
900,24JD1A0419,R2321043,ELECTRONIC DEVICES AND CIRCUITS,23,A,3
901,24JD1A0419,R2321044,SWITCHING THEORY AND LOGIC DESIGN,23,C,3
902,24JD1A0419,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,28,S,1.5
903,24JD1A0419,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,28,S,1.5
904,24JD1A0419,R2321047,DATA STRUCTURES USING PYTHON,30,S,2
905,24JD1A0421,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,18,C,3
906,24JD1A0421,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,27,COMPLE,0
907,24JD1A0421,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,17,E,3
908,24JD1A0421,R2321042,SIGNALS AND SYSTEMS,16,F,0
909,24JD1A0421,R2321043,ELECTRONIC DEVICES AND CIRCUITS,20,E,3
910,24JD1A0421,R2321044,SWITCHING THEORY AND LOGIC DESIGN,22,F,0
911,24JD1A0421,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,21,B,1.5
912,24JD1A0421,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,23,A,1.5
913,24JD1A0421,R2321047,DATA STRUCTURES USING PYTHON,24,A,2
914,24JD1A0422,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,22,D,3
915,24JD1A0422,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,30,COMPLE,0
916,24JD1A0422,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,20,C,3
917,24JD1A0422,R2321042,SIGNALS AND SYSTEMS,21,E,3
918,24JD1A0422,R2321043,ELECTRONIC DEVICES AND CIRCUITS,22,D,3
919,24JD1A0422,R2321044,SWITCHING THEORY AND LOGIC DESIGN,21,D,3
920,24JD1A0422,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,26,S,1.5
921,24JD1A0422,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,28,S,1.5
922,24JD1A0422,R2321047,DATA STRUCTURES USING PYTHON,27,A,2
923,24JD1A0423,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,24,C,3
924,24JD1A0423,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,29,COMPLE,0
925,24JD1A0423,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,22,D,3
926,24JD1A0423,R2321042,SIGNALS AND SYSTEMS,22,F,0
927,24JD1A0423,R2321043,ELECTRONIC DEVICES AND CIRCUITS,21,D,3
928,24JD1A0423,R2321044,SWITCHING THEORY AND LOGIC DESIGN,20,F,0
929,24JD1A0423,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,27,S,1.5
930,24JD1A0423,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,28,S,1.5
931,24JD1A0423,R2321047,DATA STRUCTURES USING PYTHON,25,A,2
932,24JD1A0424,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,21,D,3
933,24JD1A0424,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,27,COMPLE,0
934,24JD1A0424,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,15,F,0
935,24JD1A0424,R2321042,SIGNALS AND SYSTEMS,16,F,0
936,24JD1A0424,R2321043,ELECTRONIC DEVICES AND CIRCUITS,19,F,0
937,24JD1A0424,R2321044,SWITCHING THEORY AND LOGIC DESIGN,19,F,0
938,24JD1A0424,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,23,F,0
939,24JD1A0424,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,25,B,1.5
940,24JD1A0424,R2321047,DATA STRUCTURES USING PYTHON,23,A,2
941,24JD1A0425,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,27,S,3
942,24JD1A0425,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,29,COMPLE,0
943,24JD1A0425,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,26,S,3
944,24JD1A0425,R2321042,SIGNALS AND SYSTEMS,24,A,3
945,24JD1A0425,R2321043,ELECTRONIC DEVICES AND CIRCUITS,23,B,3
946,24JD1A0425,R2321044,SWITCHING THEORY AND LOGIC DESIGN,24,F,0
947,24JD1A0425,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,28,S,1.5
948,24JD1A0425,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,28,S,1.5
949,24JD1A0425,R2321047,DATA STRUCTURES USING PYTHON,30,S,2
950,24JD1A0426,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,26,B,3
951,24JD1A0426,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,29,COMPLE,0
952,24JD1A0426,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,24,C,3
953,24JD1A0426,R2321042,SIGNALS AND SYSTEMS,25,B,3
954,24JD1A0426,R2321043,ELECTRONIC DEVICES AND CIRCUITS,23,A,3
955,24JD1A0426,R2321044,SWITCHING THEORY AND LOGIC DESIGN,24,B,3
956,24JD1A0426,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,27,S,1.5
957,24JD1A0426,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,29,S,1.5
958,24JD1A0426,R2321047,DATA STRUCTURES USING PYTHON,29,S,2
959,24JD1A0427,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,23,D,3
960,24JD1A0427,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,27,COMPLE,0
961,24JD1A0427,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,24,D,3
962,24JD1A0427,R2321042,SIGNALS AND SYSTEMS,22,F,0
963,24JD1A0427,R2321043,ELECTRONIC DEVICES AND CIRCUITS,22,D,3
964,24JD1A0427,R2321044,SWITCHING THEORY AND LOGIC DESIGN,22,E,3
965,24JD1A0427,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,26,S,1.5
966,24JD1A0427,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,26,A,1.5
967,24JD1A0427,R2321047,DATA STRUCTURES USING PYTHON,25,A,2
968,24JD1A0429,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,18,D,3
969,24JD1A0429,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,26,COMPLE,0
970,24JD1A0429,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,16,F,0
971,24JD1A0429,R2321042,SIGNALS AND SYSTEMS,20,F,0
972,24JD1A0429,R2321043,ELECTRONIC DEVICES AND CIRCUITS,19,F,0
973,24JD1A0429,R2321044,SWITCHING THEORY AND LOGIC DESIGN,22,F,0
974,24JD1A0429,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,22,B,1.5
975,24JD1A0429,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,25,A,1.5
976,24JD1A0429,R2321047,DATA STRUCTURES USING PYTHON,26,A,2
977,24JD1A0430,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,21,B,3
978,24JD1A0430,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,25,COMPLE,0
979,24JD1A0430,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,25,F,0
980,24JD1A0430,R2321042,SIGNALS AND SYSTEMS,24,F,0
981,24JD1A0430,R2321043,ELECTRONIC DEVICES AND CIRCUITS,20,E,3
982,24JD1A0430,R2321044,SWITCHING THEORY AND LOGIC DESIGN,22,E,3
983,24JD1A0430,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,28,S,1.5
984,24JD1A0430,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,26,A,1.5
985,24JD1A0430,R2321047,DATA STRUCTURES USING PYTHON,24,A,2
986,24JD1A0431,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,17,ABSENT,0
987,24JD1A0431,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,30,COMPLE,0
988,24JD1A0431,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,18,ABSENT,0
989,24JD1A0431,R2321042,SIGNALS AND SYSTEMS,18,F,0
990,24JD1A0431,R2321043,ELECTRONIC DEVICES AND CIRCUITS,18,E,3
991,24JD1A0431,R2321044,SWITCHING THEORY AND LOGIC DESIGN,21,F,0
992,24JD1A0431,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,21,B,1.5
993,24JD1A0431,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,24,B,1.5
994,24JD1A0431,R2321047,DATA STRUCTURES USING PYTHON,22,B,2
995,24JD1A0432,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,22,C,3
996,24JD1A0432,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,30,COMPLE,0
997,24JD1A0432,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,17,C,3
998,24JD1A0432,R2321042,SIGNALS AND SYSTEMS,21,E,3
999,24JD1A0432,R2321043,ELECTRONIC DEVICES AND CIRCUITS,22,C,3
1000,24JD1A0432,R2321044,SWITCHING THEORY AND LOGIC DESIGN,19,E,3
1001,24JD1A0432,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,24,A,1.5
1002,24JD1A0432,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,25,A,1.5
1003,24JD1A0432,R2321047,DATA STRUCTURES USING PYTHON,29,A,2
1004,24JD1A0433,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,26,A,3
1005,24JD1A0433,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,27,COMPLE,0
1006,24JD1A0433,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,25,F,0
1007,24JD1A0433,R2321042,SIGNALS AND SYSTEMS,25,C,3
1008,24JD1A0433,R2321043,ELECTRONIC DEVICES AND CIRCUITS,23,D,3
1009,24JD1A0433,R2321044,SWITCHING THEORY AND LOGIC DESIGN,24,F,0
1010,24JD1A0433,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,28,S,1.5
1011,24JD1A0433,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,21,A,1.5
1012,24JD1A0433,R2321047,DATA STRUCTURES USING PYTHON,25,A,2
1013,24JD1A0434,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,21,C,3
1014,24JD1A0434,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,28,COMPLE,0
1015,24JD1A0434,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,23,C,3
1016,24JD1A0434,R2321042,SIGNALS AND SYSTEMS,22,A,3
1017,24JD1A0434,R2321043,ELECTRONIC DEVICES AND CIRCUITS,21,B,3
1018,24JD1A0434,R2321044,SWITCHING THEORY AND LOGIC DESIGN,20,F,0
1019,24JD1A0434,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,28,S,1.5
1020,24JD1A0434,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,28,S,1.5
1021,24JD1A0434,R2321047,DATA STRUCTURES USING PYTHON,27,A,2
1022,24JD1A0435,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,20,D,3
1023,24JD1A0435,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,29,COMPLE,0
1024,24JD1A0435,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,24,F,0
1025,24JD1A0435,R2321042,SIGNALS AND SYSTEMS,22,E,3
1026,24JD1A0435,R2321043,ELECTRONIC DEVICES AND CIRCUITS,22,D,3
1027,24JD1A0435,R2321044,SWITCHING THEORY AND LOGIC DESIGN,23,F,0
1028,24JD1A0435,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,26,S,1.5
1029,24JD1A0435,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,27,S,1.5
1030,24JD1A0435,R2321047,DATA STRUCTURES USING PYTHON,24,A,2
1031,24JD1A0436,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,26,B,3
1032,24JD1A0436,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,30,COMPLE,0
1033,24JD1A0436,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,24,A,3
1034,24JD1A0436,R2321042,SIGNALS AND SYSTEMS,23,C,3
1035,24JD1A0436,R2321043,ELECTRONIC DEVICES AND CIRCUITS,22,C,3
1036,24JD1A0436,R2321044,SWITCHING THEORY AND LOGIC DESIGN,22,E,3
1037,24JD1A0436,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,23,S,1.5
1038,24JD1A0436,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,26,S,1.5
1039,24JD1A0436,R2321047,DATA STRUCTURES USING PYTHON,26,A,2
1040,24JD1A0437,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,24,C,3
1041,24JD1A0437,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,26,COMPLE,0
1042,24JD1A0437,R2321041,PROBABILITY THEORY AND STOCHASTIC PROCES,24,F,0
1043,24JD1A0437,R2321042,SIGNALS AND SYSTEMS,19,F,0
1044,24JD1A0437,R2321043,ELECTRONIC DEVICES AND CIRCUITS,22,D,3
1045,24JD1A0437,R2321044,SWITCHING THEORY AND LOGIC DESIGN,22,D,3
1046,24JD1A0437,R2321045,ELECTRONIC DEVICES AND CIRCUITS LAB,21,B,1.5
1047,24JD1A0437,R2321046,SWITCHING THEORY AND LOGIC DESIGN LAB,27,S,1.5
